Player,Caliber,Instagram Followers,Twitter Followers,Reach (Combined Following),Brand,Dates,Type of Activation,Distribution,Additional Notes,Player Fee
Monte Morris,Vet,"147k","(not listed)","(not listed)",ABI,12/13/22,"1 In-Feed Post",Instagram,"Ultra Team Cans","$10,000"
Goran Dragic,Vet,"484k","(not listed)","(not listed)",ABI,12/15/22,"1 In-Feed Post",Instagram,"Ultra Team Cans","$10,000"
Deandre Ayton,Rising Star,"495k","(not listed)","(not listed)",ABI,2/11/23,"60-min appearance; 1 In-Feed Post",Instagram,"Mich ULTRA Top Golf Super Bowl","$40,000"
Jordan Clarkson,Vet,"Chase","(not listed)","(not listed)","(not listed)",2/18/23,"60-min content capture; 1 social post",Instagram,"(not listed)","$47,500"
Walker Kessler,Rising Star,"Chase","(not listed)","(not listed)","(not listed)",2/18/23,"60-min content capture; 1 social post",Instagram,"(not listed)","$20,000"
Mac McClung,Hometown Hero,"AT&T","(not listed)","(not listed)","(not listed)",2/18/23,"60-min appearance; 60-min prod shoot; 1 social post",Instagram,"(not listed)","$40,000"
KJ Martin,Hometown Hero,"AT&T","(not listed)","(not listed)","(not listed)",2/18/23,"60-min appearance; 60-min prod shoot; 1 social post",Instagram,"(not listed)","$40,000"
Jericho Sims,Hometown Hero,"AT&T","(not listed)","(not listed)","(not listed)",2/18/23,"60-min appearance; 60-min prod shoot; 1 social post",Instagram,"(not listed)","$40,000"
Trey Murphy,Rising Star,"AT&T","(not listed)","(not listed)","(not listed)",2/18/23,"60-min appearance; 60-min prod shoot; 1 social post",Instagram,"(not listed)","$40,000"
Landry Shamet,Vet,"112k","36.8k","148,000",Coke/Sprite,4/13/23,"60-min appearance; 1 In-Feed Post",Instagram,"Sprite VIP Fan Event","$12,000"
Josh Okogie,Vet,"107k","30k","137k",Coke/Sprite,4/13/23,"60-min appearance; 1 In-Feed Post",Instagram,"Sprite VIP Fan Event","$12,000"
Spencer Dinwiddie,Vet,"317k","125.2k","442.2k",Tissot,5/17/23,"30-min appearance; 1 In-Feed Post",Instagram,"Teacher Appreciation Week","$20,000"
Josh Giddy,Rising Star,"491k","111.8k","602.8k",Niantic,7/8/23,"45-min appearance; 1 IGS",Instagram,"Brotherhood Deli Appearance","$20,000"
Ben Mathurin,Rising Star,"173k","33.4k","206.4k",Niantic,7/9/23,"45-min appearance; 1 IGS",Instagram,"Brotherhood Deli Appearance","$15,000"
Jeremy Sochan,Rising Star,"325k","83.9k","408.9k",P&P,7/8/23,"45-min appearance; 1 IGS",Instagram,"Brotherhood Deli Appearance","$7,500"
Jaren Jackson Jr,All Star,"508k","239k","747k",SB Nation,7/9/23,"45-min appearance; 1 IGS; 10-min content capture",Instagram,"(not listed)","$10,000"
Lonzo Ball,Rising Star,"(not listed)","(not listed)","(not listed)",P&P,"(date not listed)","Appearance - Post Up","(not listed)","(not listed)","$50,000"
